store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
1000385412041408565,0,0,3,0,9,19
1000400335282361328,25,0,0,34,23,61
1000558441535520566,21,0,0,38,11,25
1003200614770244799,60,13,16,0,0,0
1003713923115890238,60,23,61,0,0,0
1004567882358859299,60,23,61,0,0,0
1004734158580760410,0,0,0,60,23,61
1005454408747305679,60,10,12,0,0,0
1006003012278214453,60,23,61,0,0,0
1006235379059772386,0,0,0,60,23,58
1007392278459573100,60,10,13,0,0,0
100927970158485910,0,0,9,0,0,0
1009333266625513049,0,0,0,0,10,20
1009358099378516398,60,23,52,0,0,8
1010479668839241668,60,23,61,0,0,0
1010954516905912579,60,16,39,0,0,0
1011576216621297748,60,23,58,0,0,2
1011603928978119029,13,15,31,0,0,0
1012919347352044037,60,13,32,0,0,0
1012964275950235204,60,15,37,0,0,0
101309509464394483,24,0,4,35,23,56
1013860325619674531,60,23,58,0,0,0
1013928287505433710,60,23,58,0,0,0
1015214744820193842,60,13,30,0,0,0
1015372118842025109,60,23,60,0,0,0
1015387272958179949,60,23,61,0,0,0
1016295610192823996,60,23,61,0,0,0
1016340945788417334,60,8,19,0,0,0
1016634108828761839,60,23,61,0,0,0
1017106810833904828,0,0,0,60,23,60
1019058292591476179,28,0,0,31,11,26
1019542728515086296,60,23,61,0,0,0
1019560701115878725,0,10,20,0,0,0
1019604210961591619,0,7,14,0,0,0
1021481785936132445,60,23,61,0,0,0
1021751857440600161,60,12,26,0,0,0
1021872076660489708,60,12,25,0,0,0
1022591884403771382,60,23,61,0,0,0
1022997542207533123,60,14,32,0,0,0
1023195882669842302,60,14,34,0,0,0
1023496631999592780,60,23,59,0,0,1
1024015964072928046,5,0,0,38,9,20
1024201760647776108,60,21,56,0,2,4
1025343019535068501,60,11,28,0,0,0
1026043486905735229,0,0,0,60,12,28
1026140097564791670,60,23,58,0,0,0
1026215891482405791,22,0,12,37,11,12
1026252971907679697,19,0,0,40,8,19
1027087744213169660,60,23,60,0,0,0
1027536014731046481,60,10,22,0,0,0
